,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
P01,0.00,1.80,1.29,1.52,1.52,1.80,1.80,1.13,0.96,1.46,1.80,0.96,1.80,1.46,1.18,1.46,1.13,1.52,1.80,1.46,1.29,1.80,1.46,1.46,1.46,1.29,1.80,1.46,1.46,0.68
P02,1.80,0.00,1.46,1.46,1.80,1.80,1.29,1.18,1.80,1.80,1.80,0.84,1.80,1.29,1.80,1.80,1.80,1.80,1.13,1.80,1.46,1.46,1.80,1.29,1.46,1.80,1.01,1.13,1.80,1.46
P03,1.29,1.46,0.00,0.79,1.46,1.46,1.46,1.80,1.29,1.13,1.46,1.29,1.46,1.46,1.80,1.80,1.80,1.80,1.18,1.80,0.62,1.80,1.13,1.46,1.13,0.96,1.46,1.46,1.46,1.29
P04,1.52,1.46,0.79,0.00,1.18,0.96,1.46,1.29,1.80,1.13,0.96,1.80,0.96,1.46,1.52,1.29,1.80,1.01,1.46,1.80,1.13,1.29,0.62,1.46,0.62,1.46,1.46,0.96,1.46,1.52
P05,1.52,1.80,1.46,1.18,0.00,1.13,1.13,1.80,1.46,0.96,1.46,1.80,1.46,1.80,1.01,1.80,0.96,1.18,1.29,0.96,1.46,1.46,1.46,1.46,1.80,1.80,0.79,1.80,1.29,1.18
P06,1.80,1.80,1.46,0.96,1.13,0.00,1.13,1.29,1.46,1.46,0.62,1.80,0.62,1.80,1.80,0.68,1.18,0.96,1.80,1.46,1.46,1.01,0.96,1.46,1.01,1.80,1.13,1.29,1.52,1.80
P07,1.80,1.29,1.46,1.46,1.13,1.13,0.00,1.80,1.46,1.46,1.46,1.80,1.46,1.29,1.46,1.80,1.46,1.13,1.80,1.13,1.46,1.80,1.46,0.45,1.80,1.52,0.62,1.80,1.80,1.80
P08,1.13,1.18,1.80,1.29,1.80,1.29,1.80,0.00,1.46,1.46,1.29,0.84,1.29,1.46,1.46,0.96,1.46,1.29,1.80,1.46,1.80,1.29,0.96,1.46,0.96,1.80,1.52,0.62,1.46,1.46
P09,0.96,1.80,1.29,1.80,1.46,1.46,1.46,1.46,0.00,1.80,1.52,1.29,1.80,1.18,1.80,1.80,1.13,1.46,1.46,1.13,0.96,1.80,1.52,1.80,1.46,1.29,1.46,1.46,1.80,1.29
P10,1.46,1.80,1.13,1.13,0.96,1.46,1.46,1.46,1.80,0.00,1.46,1.46,1.46,1.46,0.96,1.46,1.29,1.80,1.29,1.29,1.46,1.80,0.79,1.13,1.46,1.46,1.46,1.80,0.62,1.46
P11,1.80,1.80,1.46,0.96,1.46,0.62,1.46,1.29,1.52,1.46,0.00,1.80,0.38,1.18,1.80,0.96,1.80,1.29,1.80,1.80,1.46,0.96,0.68,1.46,1.29,1.46,1.46,1.29,1.80,1.80
P12,0.96,0.84,1.29,1.80,1.80,1.80,1.80,0.84,1.29,1.46,1.80,0.00,1.80,1.80,1.46,1.46,1.80,1.80,1.46,1.80,1.29,1.46,1.46,1.46,1.80,1.29,1.52,1.46,1.46,0.62
P13,1.80,1.80,1.46,0.96,1.46,0.62,1.46,1.29,1.80,1.46,0.38,1.80,0.00,1.46,1.80,0.96,1.80,1.29,1.80,1.52,1.46,0.96,0.96,1.46,1.29,1.46,1.46,1.29,1.80,1.80
P14,1.46,1.29,1.46,1.46,1.80,1.80,1.29,1.46,1.18,1.46,1.18,1.80,1.46,0.00,1.80,1.80,1.46,1.80,1.80,1.46,1.80,1.46,1.18,1.29,1.13,1.13,1.29,1.46,1.46,1.80
P15,1.18,1.80,1.80,1.52,1.01,1.80,1.46,1.46,1.80,0.96,1.80,1.46,1.80,1.80,0.00,1.13,1.29,0.84,1.29,0.96,1.80,1.80,1.46,1.13,1.80,1.46,1.80,1.80,0.62,1.18
P16,1.46,1.80,1.80,1.29,1.80,0.68,1.80,0.96,1.80,1.46,0.96,1.46,0.96,1.80,1.13,0.00,1.52,0.96,1.80,1.80,1.80,1.01,0.96,1.46,1.01,1.46,1.80,1.29,0.84,1.46
P17,1.13,1.80,1.80,1.80,0.96,1.18,1.46,1.46,1.13,1.29,1.80,1.80,1.80,1.46,1.29,1.52,0.00,1.46,1.29,0.62,1.80,1.52,1.80,1.80,1.18,1.80,1.46,1.46,1.01,1.80
P18,1.52,1.80,1.80,1.01,1.18,0.96,1.13,1.29,1.46,1.80,1.29,1.80,1.29,1.80,0.84,0.96,1.46,0.00,1.80,1.13,1.80,1.29,1.29,1.46,1.29,1.46,1.46,1.29,1.46,1.52
P19,1.80,1.13,1.18,1.46,1.29,1.80,1.80,1.80,1.46,1.29,1.80,1.46,1.80,1.80,1.29,1.80,1.29,1.80,0.00,1.29,1.13,1.46,1.80,1.80,1.46,1.80,1.80,1.46,1.29,1.46
P20,1.46,1.80,1.80,1.80,0.96,1.46,1.13,1.46,1.13,1.29,1.80,1.80,1.52,1.46,0.96,1.80,0.62,1.13,1.29,0.00,1.80,1.80,1.80,1.46,1.46,1.80,1.46,1.46,1.29,1.80
P21,1.29,1.46,0.62,1.13,1.46,1.46,1.46,1.80,0.96,1.46,1.46,1.29,1.46,1.80,1.80,1.80,1.80,1.80,1.13,1.80,0.00,1.80,1.46,1.46,1.46,1.29,1.46,1.18,1.80,1.29
P22,1.80,1.46,1.80,1.29,1.46,1.01,1.80,1.29,1.80,1.80,0.96,1.46,0.96,1.46,1.80,1.01,1.52,1.29,1.46,1.80,1.80,0.00,1.29,1.80,1.01,1.46,1.46,1.29,1.52,1.13
P23,1.46,1.80,1.13,0.62,1.46,0.96,1.46,0.96,1.52,0.79,0.68,1.46,0.96,1.18,1.46,0.96,1.80,1.29,1.80,1.80,1.46,1.29,0.00,1.13,0.96,1.46,1.46,1.29,1.13,1.46
P24,1.46,1.29,1.46,1.46,1.46,1.46,0.45,1.46,1.80,1.13,1.46,1.46,1.46,1.29,1.13,1.46,1.80,1.46,1.80,1.46,1.46,1.80,1.13,0.00,1.80,1.52,0.96,1.80,1.46,1.46
P25,1.46,1.46,1.13,0.62,1.80,1.01,1.80,0.96,1.46,1.46,1.29,1.80,1.29,1.13,1.80,1.01,1.18,1.29,1.46,1.46,1.46,1.01,0.96,1.80,0.00,1.46,1.80,0.62,1.18,1.80
P26,1.29,1.80,0.96,1.46,1.80,1.80,1.52,1.80,1.29,1.46,1.46,1.29,1.46,1.13,1.46,1.46,1.80,1.46,1.80,1.80,1.29,1.46,1.46,1.52,1.46,0.00,1.80,1.80,1.13,1.29
P27,1.80,1.01,1.46,1.46,0.79,1.13,0.62,1.52,1.46,1.46,1.46,1.52,1.46,1.29,1.80,1.80,1.46,1.46,1.80,1.46,1.46,1.46,1.46,0.96,1.80,1.80,0.00,1.80,1.80,1.46
P28,1.46,1.13,1.46,0.96,1.80,1.29,1.80,0.62,1.46,1.80,1.29,1.46,1.29,1.46,1.80,1.29,1.46,1.29,1.46,1.46,1.18,1.29,1.29,1.80,0.62,1.80,1.80,0.00,1.80,1.80
P29,1.46,1.80,1.46,1.46,1.29,1.52,1.80,1.46,1.80,0.62,1.80,1.46,1.80,1.46,0.62,0.84,1.01,1.46,1.29,1.29,1.80,1.52,1.13,1.46,1.18,1.13,1.80,1.80,0.00,1.46
P30,0.68,1.46,1.29,1.52,1.18,1.80,1.80,1.46,1.29,1.46,1.80,0.62,1.80,1.80,1.18,1.46,1.80,1.52,1.46,1.80,1.29,1.13,1.46,1.46,1.80,1.29,1.46,1.80,1.46,0.00

